#漢字	音標	解釋
多	tɔ1	～少
拖	tʰɔ1	～拉机
他	tʰa1	其～
駝	tʰɔ2	骆～
哪	na3	～吒
羅	lɔ2	姓
左	ʦɔ3	～右
哥	kɔ1	大～，学生～
可	hɔ3	～能，许～证
鵝	ŋɔ2	天～
我	ŋɔ1	自～[文]
我	ŋai2	涯，第一人称[白]
餓	ŋɔ3	饥～
河	hɔ2	黄～
賀	hɔ5	祝～，～礼
茄	kʰiɛ2	茄子；番～
波	pɔ1	风～，～浪
破	pʰɔ5	～坏
婆	pʰɔ2	老～
磨	mɔ2	石～[名]
朶	tɔ3	一～花，花～
糯	nɔ3	～米
坐	ʦʰɔ1	～车，～稳
座	ʦʰɔ3	～位，上～
簑	sɔ1	棕～，～衣
鎖	sɔ3	～匙
果	kuɔ3	水～
過	kuɔ5	～去，～头
科	fɔ1	～学，文～
課	fɔ5	上～
火	fɔ3	着～，～车
貨	fɔ5	～车，百～
禾	vɔ2	割～，～苗
靴	hɛ1	皮～
巴	pa1	～掌，～结，～黎
把	pa3	～握，～脉
霸	pa5	恶～，～王
怕	pʰa5	害怕，惊～
爬	pʰa2	～树
麻	ma2	天～，～烦
馬	ma1	骑～，～虎
拿	na2	～手，推～
茶	ʦʰa2	～叶
渣	ʦa1	药～
炸	ʦa5	～药
査	ʦʰa2	调～
沙	sa1	泥～，～漠
家	ka1	老～，～庭
假	ka3	真～，～设
架	ka5	书～
牙	ŋa2	～齿，刷～
蝦	ha3	鱼～，～公
下	ha1	～背，底～
下	ha1	～降，～流
啞	a3	哑巴，～佬
姐	ʨia3	小～[文]
借	ʨia5	～钱
且	ʨʰia3	而～，况～
寫	ɬia3	～字
斜	ʨʰia2	不正
謝	ʨʰia3	多～；姓
遮	ʧa1	遮挡[动]；伞[名]
者	ʧa3	记～，作～
車	ʧʰa1	火～
扯	ʧʰa3	～开，～烂
蛇	sa2	毒～
射	sa3	发～，～箭
捨	sa3	～唔得（舍不得）
社	sa1	～会，公～
惹	ȵia1	～事
爺	ja2	父亲；爷爷[文]
野	ja1	～人
夜	ja3	日～，～班
傻	sɔ2	～瓜，～子
瓜	kua1	西～，～分
誇	kʰua1	～大，～张
瓦	ŋa3	～片
花	fa1	开～
華	fa2	中～
補	pu3	～鞋，～充
布	pu5	红～，～料
部	pʰu3	～队，干～
步	pʰu3	跑～
模	mu2	～型，～范
墓	mu5	坟～，～地
都	tu1	都是
賭	tu3	～博
土	tʰu3	～地
圖	tʰu2	画～，地～
度	tʰu3	～数，长～
奴	nu2	～隶
爐	lu2	火～
滷	lu2	盐～，～水
路	lu3	大～
租	ʧu1	～金，出～
祖	ʧu3	～宗，～国
做	ʧɔ5	～好事
粗	ʦʰu1	～心
蘇	ɬu1	～州；姓
姑	ku1	大～
鼓	ku3	锣～，～励
故	ku5	～事，～乡
苦	fu3	辛～，食～（吃苦）
苦	fu3	～味
褲	fu5	裤子
吳	ŋ2	姓
五	ŋ3	数字
誤	ŋ5	～会，错～
虎	fu3	老～
胡	fu2	二～ ；姓
戶	fu3	～口
烏	vu1	黑
女	ny3	女人
呂	ly1	姓
慮	ly3	考～
徐	ʨʰy2	姓
序	ʨʰy3	顺～
楚	ʦʰɔ3	清～
豬	ʨy1	～肉
除	ʨʰy2	～法
初	ʧu1	当～，～中
鋤	ʧɔ2	～草，～禾日当午
助	ʧɔ3	帮～
梳	sɔ1	梳子[名]；梳头[动]
煮	ʨy3	～饭
處	ʨy5	～理，相～
書	ɕy1	读～
鼠	ɕy3	老～
薯	ɕy2	番～
如	jy2	～果，假～
舉	ky3	～报，～重
鋸	ky5	电～
去	hi5	来～，过～
佢	ki2	他，第三人称
巨	kʰy3	～大，艰～
魚	jy2	金～
語	jy1	～文
虛	ɕy1	～心
許	ɕy3	允～；姓
餘	jy2	多～
預	jy3	～报，～备
夫	fu1	～妻，车～
府	fu3	政～
斧	pu3	～头
輔	fu3	～导，～助
武	vu3	～器，～术
舞	mu3	跳～
務	mu5	任～，～农
取	ʨʰy3	～钱
趣	ʨʰy5	兴～
聚	ʨʰy3	～会
需	ɬi1	～要
柱	ʨʰy1	柱子
住	ʨʰy3	～宿
朱	ʨy1	姓
主	ʨy3	～人，地～
樹	ɕy3	～立，种～
區	ʨʰy1	地～，～别
具	kʰi3	～体
遇	jy3	遭～，相～，～到
雨	jy1	落～，谷～，～水
臺	tʰɔi2	～湾
代	tʰɔi3	～替，～表
耐	nai3	～力，～心，忍～
來	lɔi2	过～，～去
再	ʦai5	～来
彩	ʦʰuɔi3	～色
菜	ʦʰuɔi5	煮～，青～
才	ʦʰuɔi2	人～，～气，秀～
賽	ɬɔi5	比～
該	kɔi1	应～
改	kɔi3	修～，～正
開	hɔi1	公～，～门
海	hɔi3	大～
哀	ɔi1	悲～
愛	ɔi5	～情；要
帶	tai5	鞋～
大	tʰai3	大小
賴	lai3	依～，无～；姓
艾	ȵiɛ5	艾草
害	hɔi3	～人
拜	pai5	结～，礼～，～佛
排	pʰai2	～队
埋	mai1	～伏
齋	ʧai1	食～（吃斋）
階	kai1	台～，～级
介	kai5	～绍，中～
擺	pai3	摇～
派	pʰai5	正～，～出所
買	mai1	～卖
賣	mai3	买～
柴	ʧʰai2	姓；火～
街	kai1	～路
